,GroupID,B0,E,Eh,Th,AIC,Converge
0,1,NA,NA,NA,NA,NA,N
0,2,29.29159533622494,2.7353008964331664,2.417265072042185,276.5761901925022,-1.5058119210031649,Y
0,3,0.0010128513540374185,13.636009717655492,13.649429551552315,285.6663162497108,-65.43184756538372,Y
0,4,0.0020871707094133993,10.356929743401032,10.449057672334364,286.03390279230103,-63.37652742009176,Y
0,5,0.023525324951708927,2.4184087305445594,2.668607893337698,290.31559457452124,-83.15673587493131,Y
0,6,NA,NA,NA,NA,NA,N
0,7,NA,NA,NA,NA,NA,N
0,8,1.5601823705704068,1.0524914845431725,4.042141296019185,304.06832357079213,7.685601141123185,Y
0,9,1.0499337757823253,3.4204283922732746,3.328230022046143,285.38319346695164,3.5915242242342043,Y
0,10,NA,NA,NA,NA,NA,N
0,11,NA,NA,NA,NA,NA,N
0,12,NA,NA,NA,NA,NA,N
0,13,6.472365581951406,15.97058195574109,16.015078900954936,278.4561858208688,-136.13286962579704,Y
0,14,4.848205267212764e-05,0.14259524274024507,2.6325076996163643,311.87073010187794,-149.32733910162352,Y
0,15,3.092389352055754e-05,1.4214313778434187,2.305002077177144,294.5413373128341,-129.83750411141543,Y
0,16,3.407366177512273e-05,0.8137655052076967,1.6030461188395373,294.20972160402573,-169.80812748400993,Y
0,17,NA,NA,NA,NA,NA,N
0,18,NA,NA,NA,NA,NA,N
0,19,5.0727137014902324e-05,0.4112570760137123,4.219793232507491e-05,373.63478973531693,-197.79704661220148,Y
0,20,NA,NA,NA,NA,NA,N
0,21,6.787771684894362e-05,0.8634769885555634,0.5512966796459844,289.3881827678137,-164.225552943976,Y
0,22,NA,NA,NA,NA,NA,N
0,23,5.5191757892393255e-06,0.8502535060383262,1.7907961176862817,310.94087787418124,-163.13264112942474,Y
0,24,NA,NA,NA,NA,NA,N
0,25,0.0009848935687786693,1.007890496053137,0.9807042470099739,278.6153368769667,-143.9040212975159,Y
0,26,NA,NA,NA,NA,NA,N
0,27,NA,NA,NA,NA,NA,N
0,28,NA,NA,NA,NA,NA,N
0,29,NA,NA,NA,NA,NA,N
0,30,NA,NA,NA,NA,NA,N
0,31,NA,NA,NA,NA,NA,N
0,32,NA,NA,NA,NA,NA,N
0,33,NA,NA,NA,NA,NA,N
