,GroupID,B0,E,El,Tl,AIC,Converge
0,1,NA,NA,NA,NA,NA,N
0,2,29.287359001631543,2.735210456773335,2.4171905372144815,276.5764388339444,-1.5059595235354895,Y
0,3,0.0010128478354884914,13.636085314688273,13.64950344136847,285.6663020988068,-65.43182782009563,Y
0,4,0.0020872028135156713,10.356692806267688,10.448827726563655,286.033968471141,-63.37661612116534,Y
0,5,0.02352502044077367,2.4184496724469438,2.6686389036405056,290.3154650150091,-83.15703260560174,Y
0,6,NA,NA,NA,NA,NA,N
0,7,NA,NA,NA,NA,NA,N
0,8,NA,NA,NA,NA,NA,N
0,9,1.0499745233373874,3.4204929607252654,3.328283135683372,285.38301009140577,3.591741609120616,Y
0,10,NA,NA,NA,NA,NA,N
0,11,NA,NA,NA,NA,NA,N
0,12,NA,NA,NA,NA,NA,N
0,13,6.434021986892429,15.962516926938129,16.007013881839292,278.45634025511714,-136.13286923943247,Y
0,14,NA,NA,NA,NA,NA,N
0,15,NA,NA,NA,NA,NA,N
0,16,NA,NA,NA,NA,NA,N
0,17,NA,NA,NA,NA,NA,N
0,18,NA,NA,NA,NA,NA,N
0,19,NA,NA,NA,NA,NA,N
0,20,NA,NA,NA,NA,NA,N
0,21,NA,NA,NA,NA,NA,N
0,22,NA,NA,NA,NA,NA,N
0,23,NA,NA,NA,NA,NA,N
0,24,0.0005458718825403758,0.02071266366316224,-1.0251160757015418,278.57211326641897,-134.93745085045128,Y
0,25,0.0009848932808406072,1.007890213499326,0.9807040041207737,278.6153387846493,-143.90402147308242,Y
0,26,NA,NA,NA,NA,NA,N
0,27,NA,NA,NA,NA,NA,N
0,28,NA,NA,NA,NA,NA,N
0,29,NA,NA,NA,NA,NA,N
0,30,NA,NA,NA,NA,NA,N
0,31,NA,NA,NA,NA,NA,N
0,32,NA,NA,NA,NA,NA,N
0,33,NA,NA,NA,NA,NA,N
0,34,0.003959902872773647,5.7472554022013735,5.043786092971492,287.2043356055055,-40.76687903091296,Y
0,35,NA,NA,NA,NA,NA,N
0,36,NA,NA,NA,NA,NA,N
0,37,NA,NA,NA,NA,NA,N
0,38,NA,NA,NA,NA,NA,N
0,39,NA,NA,NA,NA,NA,N
0,40,0.6003196734697971,1.44350234706894,1.4904734469783025,287.17016653934115,-29.406001226331746,Y
0,41,NA,NA,NA,NA,NA,N
0,42,NA,NA,NA,NA,NA,N
0,43,NA,NA,NA,NA,NA,N
0,44,NA,NA,NA,NA,NA,N
0,45,NA,NA,NA,NA,NA,N
0,46,NA,NA,NA,NA,NA,N
0,47,NA,NA,NA,NA,NA,N
0,48,NA,NA,NA,NA,NA,N
0,49,NA,NA,NA,NA,NA,N
0,50,NA,NA,NA,NA,NA,N
0,51,NA,NA,NA,NA,NA,N
0,52,NA,NA,NA,NA,NA,N
0,53,NA,NA,NA,NA,NA,N
0,54,NA,NA,NA,NA,NA,N
0,55,NA,NA,NA,NA,NA,N
0,56,NA,NA,NA,NA,NA,N
0,57,NA,NA,NA,NA,NA,N
0,58,NA,NA,NA,NA,NA,N
0,59,NA,NA,NA,NA,NA,N
0,60,NA,NA,NA,NA,NA,N
0,61,NA,NA,NA,NA,NA,N
0,62,NA,NA,NA,NA,NA,N
0,63,NA,NA,NA,NA,NA,N
0,64,NA,NA,NA,NA,NA,N
0,65,NA,NA,NA,NA,NA,N
0,66,NA,NA,NA,NA,NA,N
0,67,NA,NA,NA,NA,NA,N
0,68,NA,NA,NA,NA,NA,N
0,69,NA,NA,NA,NA,NA,N
0,70,NA,NA,NA,NA,NA,N
0,71,NA,NA,NA,NA,NA,N
0,72,NA,NA,NA,NA,NA,N
0,73,NA,NA,NA,NA,NA,N
0,74,NA,NA,NA,NA,NA,N
0,75,NA,NA,NA,NA,NA,N
0,76,NA,NA,NA,NA,NA,N
0,77,NA,NA,NA,NA,NA,N
0,78,NA,NA,NA,NA,NA,N
0,79,NA,NA,NA,NA,NA,N
0,80,NA,NA,NA,NA,NA,N
0,81,NA,NA,NA,NA,NA,N
0,82,NA,NA,NA,NA,NA,N
0,83,NA,NA,NA,NA,NA,N
0,84,NA,NA,NA,NA,NA,N
0,85,NA,NA,NA,NA,NA,N
0,86,NA,NA,NA,NA,NA,N
0,87,NA,NA,NA,NA,NA,N
0,88,NA,NA,NA,NA,NA,N
0,89,NA,NA,NA,NA,NA,N
0,90,NA,NA,NA,NA,NA,N
0,91,NA,NA,NA,NA,NA,N
0,92,NA,NA,NA,NA,NA,N
0,93,NA,NA,NA,NA,NA,N
0,94,NA,NA,NA,NA,NA,N
0,95,NA,NA,NA,NA,NA,N
0,96,NA,NA,NA,NA,NA,N
0,97,NA,NA,NA,NA,NA,N
0,98,NA,NA,NA,NA,NA,N
0,99,NA,NA,NA,NA,NA,N
0,100,NA,NA,NA,NA,NA,N
0,101,NA,NA,NA,NA,NA,N
0,102,NA,NA,NA,NA,NA,N
0,103,NA,NA,NA,NA,NA,N
0,104,NA,NA,NA,NA,NA,N
0,105,NA,NA,NA,NA,NA,N
0,106,NA,NA,NA,NA,NA,N
0,107,NA,NA,NA,NA,NA,N
0,108,NA,NA,NA,NA,NA,N
0,109,NA,NA,NA,NA,NA,N
0,110,NA,NA,NA,NA,NA,N
0,111,NA,NA,NA,NA,NA,N
0,112,NA,NA,NA,NA,NA,N
0,113,NA,NA,NA,NA,NA,N
0,114,NA,NA,NA,NA,NA,N
0,115,NA,NA,NA,NA,NA,N
0,116,NA,NA,NA,NA,NA,N
0,117,NA,NA,NA,NA,NA,N
0,118,NA,NA,NA,NA,NA,N
0,119,NA,NA,NA,NA,NA,N
0,120,NA,NA,NA,NA,NA,N
0,121,NA,NA,NA,NA,NA,N
0,122,NA,NA,NA,NA,NA,N
0,123,NA,NA,NA,NA,NA,N
0,124,NA,NA,NA,NA,NA,N
0,125,NA,NA,NA,NA,NA,N
0,126,NA,NA,NA,NA,NA,N
0,127,NA,NA,NA,NA,NA,N
0,128,NA,NA,NA,NA,NA,N
0,129,NA,NA,NA,NA,NA,N
0,130,NA,NA,NA,NA,NA,N
0,131,NA,NA,NA,NA,NA,N
0,132,NA,NA,NA,NA,NA,N
0,133,NA,NA,NA,NA,NA,N
0,134,NA,NA,NA,NA,NA,N
0,135,NA,NA,NA,NA,NA,N
0,136,NA,NA,NA,NA,NA,N
0,137,NA,NA,NA,NA,NA,N
0,138,NA,NA,NA,NA,NA,N
0,139,NA,NA,NA,NA,NA,N
0,140,NA,NA,NA,NA,NA,N
0,141,NA,NA,NA,NA,NA,N
0,142,NA,NA,NA,NA,NA,N
0,143,NA,NA,NA,NA,NA,N
0,144,NA,NA,NA,NA,NA,N
0,145,NA,NA,NA,NA,NA,N
0,146,NA,NA,NA,NA,NA,N
0,147,NA,NA,NA,NA,NA,N
0,148,NA,NA,NA,NA,NA,N
0,149,NA,NA,NA,NA,NA,N
0,150,NA,NA,NA,NA,NA,N
0,151,NA,NA,NA,NA,NA,N
0,152,NA,NA,NA,NA,NA,N
0,153,0.6435640628489349,2.4857018276656975,3.0255589190120094,290.1004235728538,-2.054782652812154,Y
0,154,NA,NA,NA,NA,NA,N
0,155,NA,NA,NA,NA,NA,N
0,156,NA,NA,NA,NA,NA,N
0,157,NA,NA,NA,NA,NA,N
0,158,NA,NA,NA,NA,NA,N
0,159,NA,NA,NA,NA,NA,N
0,160,NA,NA,NA,NA,NA,N
0,161,NA,NA,NA,NA,NA,N
0,162,NA,NA,NA,NA,NA,N
0,163,NA,NA,NA,NA,NA,N
0,164,NA,NA,NA,NA,NA,N
0,165,NA,NA,NA,NA,NA,N
0,166,NA,NA,NA,NA,NA,N
0,167,NA,NA,NA,NA,NA,N
0,168,NA,NA,NA,NA,NA,N
0,169,NA,NA,NA,NA,NA,N
0,170,NA,NA,NA,NA,NA,N
0,171,NA,NA,NA,NA,NA,N
0,172,NA,NA,NA,NA,NA,N
0,173,NA,NA,NA,NA,NA,N
0,174,NA,NA,NA,NA,NA,N
0,175,NA,NA,NA,NA,NA,N
0,176,NA,NA,NA,NA,NA,N
0,177,NA,NA,NA,NA,NA,N
0,178,NA,NA,NA,NA,NA,N
0,179,NA,NA,NA,NA,NA,N
0,180,NA,NA,NA,NA,NA,N
0,181,NA,NA,NA,NA,NA,N
0,182,NA,NA,NA,NA,NA,N
0,183,NA,NA,NA,NA,NA,N
0,184,NA,NA,NA,NA,NA,N
0,185,NA,NA,NA,NA,NA,N
0,186,NA,NA,NA,NA,NA,N
0,187,NA,NA,NA,NA,NA,N
