,GroupID,B0,E,Eh,El,Th,Tl,AIC,Converge
0,1,NA,NA,NA,NA,NA,NA,NA,N
0,2,NA,NA,NA,NA,NA,NA,NA,F
0,3,NA,NA,NA,NA,NA,NA,NA,N
0,4,NA,NA,NA,NA,NA,NA,NA,N
0,5,NA,NA,NA,NA,NA,NA,NA,N
0,6,NA,NA,NA,NA,NA,NA,NA,F
0,7,NA,NA,NA,NA,NA,NA,NA,F
0,8,3.120081577522936,1.0525611747044208,4.042373456643899,7.003704209990332e-05,302.70832896226784,303.3875543293565,11.68589330497712,Y
0,9,NA,NA,NA,NA,NA,NA,NA,N
0,10,NA,NA,NA,NA,NA,NA,NA,N
0,11,NA,NA,NA,NA,NA,NA,NA,N
0,12,NA,NA,NA,NA,NA,NA,NA,N
0,13,0.00020276149646636065,-0.04456940446466431,1.2694024757054877e-06,-10.381392448941863,272.66621649330585,279.0698100425157,-132.12715160583588,Y
0,14,NA,NA,NA,NA,NA,NA,NA,N
0,15,NA,NA,NA,NA,NA,NA,NA,N
0,16,NA,NA,NA,NA,NA,NA,NA,N
0,17,NA,NA,NA,NA,NA,NA,NA,N
0,18,NA,NA,NA,NA,NA,NA,NA,N
0,19,NA,NA,NA,NA,NA,NA,NA,N
0,20,NA,NA,NA,NA,NA,NA,NA,N
0,21,NA,NA,NA,NA,NA,NA,NA,N
0,22,NA,NA,NA,NA,NA,NA,NA,N
0,23,NA,NA,NA,NA,NA,NA,NA,N
0,24,NA,NA,NA,NA,NA,NA,NA,N
0,25,NA,NA,NA,NA,NA,NA,NA,N
0,26,NA,NA,NA,NA,NA,NA,NA,F
0,27,NA,NA,NA,NA,NA,NA,NA,F
0,28,NA,NA,NA,NA,NA,NA,NA,F
0,29,NA,NA,NA,NA,NA,NA,NA,F
0,30,NA,NA,NA,NA,NA,NA,NA,F
0,31,NA,NA,NA,NA,NA,NA,NA,N
0,32,NA,NA,NA,NA,NA,NA,NA,N
0,33,NA,NA,NA,NA,NA,NA,NA,N
0,34,NA,NA,NA,NA,NA,NA,NA,F
0,35,NA,NA,NA,NA,NA,NA,NA,F
0,36,NA,NA,NA,NA,NA,NA,NA,N
0,37,0.1566881472707549,3.2724190075486947,6.0085224049312975,2.5601480186072325,293.6449111911759,282.14951139083024,-86.74269093444329,Y
0,38,NA,NA,NA,NA,NA,NA,NA,N
0,39,NA,NA,NA,NA,NA,NA,NA,N
0,40,NA,NA,NA,NA,NA,NA,NA,N
0,41,NA,NA,NA,NA,NA,NA,NA,N
0,42,NA,NA,NA,NA,NA,NA,NA,N
0,43,0.44293450665230333,0.3595495360420604,3.738241185570944,-0.056936216976496645,703.939562236103,14.518844405673804,-17.015993190552297,Y
0,44,NA,NA,NA,NA,NA,NA,NA,N
0,45,0.03782376312593223,0.8798186835216992,4.837143723596332,-37.37506346783095,303.9353666256219,290.8197977180493,-46.386719663914064,Y
0,46,NA,NA,NA,NA,NA,NA,NA,N
0,47,0.06683433033936932,0.5586599529277708,4.83419617047079,-41.31749642936844,304.5827144855258,291.0678065589318,-39.63197234976232,Y
0,48,NA,NA,NA,NA,NA,NA,NA,N
0,49,NA,NA,NA,NA,NA,NA,NA,N
0,50,NA,NA,NA,NA,NA,NA,NA,N
0,51,0.34895706129331844,1.7463971696423608,10.279681079439529,2.74808110752094,302.65865280414977,295.5913951871752,-19.679165273724678,Y
0,52,NA,NA,NA,NA,NA,NA,NA,N
0,53,NA,NA,NA,NA,NA,NA,NA,N
0,54,NA,NA,NA,NA,NA,NA,NA,N
0,55,NA,NA,NA,NA,NA,NA,NA,N
0,56,NA,NA,NA,NA,NA,NA,NA,N
0,57,NA,NA,NA,NA,NA,NA,NA,N
0,58,NA,NA,NA,NA,NA,NA,NA,N
0,59,0.5517140443765101,4.125196136106687,7.474386113265916,3.6111567761098384,294.5317284074209,285.7909584192726,-10.503922090904815,Y
0,60,NA,NA,NA,NA,NA,NA,NA,N
0,61,NA,NA,NA,NA,NA,NA,NA,N
0,62,NA,NA,NA,NA,NA,NA,NA,N
0,63,NA,NA,NA,NA,NA,NA,NA,N
0,64,NA,NA,NA,NA,NA,NA,NA,N
0,65,NA,NA,NA,NA,NA,NA,NA,N
0,66,0.4376360781334064,3.7375554865538736,7.938754276147479,3.5121054348522343,296.8137259812965,286.91766021574944,-21.121533858164412,Y
0,67,NA,NA,NA,NA,NA,NA,NA,N
0,68,NA,NA,NA,NA,NA,NA,NA,N
0,69,NA,NA,NA,NA,NA,NA,NA,N
0,70,NA,NA,NA,NA,NA,NA,NA,N
0,71,NA,NA,NA,NA,NA,NA,NA,N
0,72,NA,NA,NA,NA,NA,NA,NA,N
0,73,NA,NA,NA,NA,NA,NA,NA,N
0,74,NA,NA,NA,NA,NA,NA,NA,N
0,75,NA,NA,NA,NA,NA,NA,NA,N
0,76,3.0033927411290247,5.724865984187784,11.228264660119804,5.363853920908769,293.3806079685619,282.2736146888656,-24.931383745505194,Y
0,77,NA,NA,NA,NA,NA,NA,NA,N
0,78,NA,NA,NA,NA,NA,NA,NA,N
0,79,NA,NA,NA,NA,NA,NA,NA,N
0,80,855.0785312444098,22.271593062355098,29.213418168786095,21.54710272166662,286.5112618136257,280.89583672864995,-21.944974841364605,Y
0,81,NA,NA,NA,NA,NA,NA,NA,N
0,82,NA,NA,NA,NA,NA,NA,NA,N
0,83,NA,NA,NA,NA,NA,NA,NA,N
0,84,NA,NA,NA,NA,NA,NA,NA,N
0,85,NA,NA,NA,NA,NA,NA,NA,N
0,86,NA,NA,NA,NA,NA,NA,NA,N
0,87,NA,NA,NA,NA,NA,NA,NA,N
0,88,NA,NA,NA,NA,NA,NA,NA,N
0,89,NA,NA,NA,NA,NA,NA,NA,N
0,90,NA,NA,NA,NA,NA,NA,NA,N
0,91,NA,NA,NA,NA,NA,NA,NA,N
0,92,NA,NA,NA,NA,NA,NA,NA,N
0,93,NA,NA,NA,NA,NA,NA,NA,N
0,94,NA,NA,NA,NA,NA,NA,NA,N
0,95,2.9612930448128645,0.7029472831988106,6.585517163430236,-2.360222682702115e-05,297.9992250709406,287.7403072269573,-13.511342467948605,Y
0,96,NA,NA,NA,NA,NA,NA,NA,N
0,97,NA,NA,NA,NA,NA,NA,NA,N
0,98,NA,NA,NA,NA,NA,NA,NA,N
0,99,12460.062221486725,28.11778905387277,33.4330137046478,27.27435571437662,283.9660035872812,280.8844804781931,-15.941334731666807,Y
0,100,NA,NA,NA,NA,NA,NA,NA,N
0,101,2.7422811727058556,0.7473387010468475,5.945181773987943,-0.0001833969879333076,297.2759781508728,311.2573090559581,-5.159609416877672,Y
0,102,7794.558599372005,31.896937902951965,37.46890181438313,31.256833579376323,284.16459039540933,281.3215715005908,-9.79466476943617,Y
0,103,3.728534384647678,5.639864438515487,15.81740289523811,5.224200314719848,296.6199445184808,281.90013585003356,-18.068683741351226,Y
0,104,NA,NA,NA,NA,NA,NA,NA,N
0,105,NA,NA,NA,NA,NA,NA,NA,N
0,106,NA,NA,NA,NA,NA,NA,NA,N
0,107,NA,NA,NA,NA,NA,NA,NA,N
0,108,NA,NA,NA,NA,NA,NA,NA,N
0,109,NA,NA,NA,NA,NA,NA,NA,N
0,110,NA,NA,NA,NA,NA,NA,NA,N
0,111,10392.600029766967,33.068339066921595,40.805599574193224,32.545107116333824,285.4100734207253,281.25389455094097,-53.60754622217996,Y
0,112,NA,NA,NA,NA,NA,NA,NA,N
0,113,1.383373778382634,3.855806077146535,7.487853979235137,3.244934785716742,293.46112559767346,283.29826832862153,-7.166971128062606,Y
0,114,NA,NA,NA,NA,NA,NA,NA,N
0,115,NA,NA,NA,NA,NA,NA,NA,N
0,116,NA,NA,NA,NA,NA,NA,NA,N
0,117,NA,NA,NA,NA,NA,NA,NA,N
0,118,NA,NA,NA,NA,NA,NA,NA,N
0,119,NA,NA,NA,NA,NA,NA,NA,N
0,120,NA,NA,NA,NA,NA,NA,NA,N
0,121,2.403657821255278,4.067284914172818,10.11636448596251,3.5329479505147736,294.97775135069406,282.02018739202134,-27.151274765367006,Y
0,122,NA,NA,NA,NA,NA,NA,NA,N
0,123,NA,NA,NA,NA,NA,NA,NA,N
0,124,NA,NA,NA,NA,NA,NA,NA,N
0,125,NA,NA,NA,NA,NA,NA,NA,N
0,126,NA,NA,NA,NA,NA,NA,NA,N
0,127,NA,NA,NA,NA,NA,NA,NA,N
0,128,NA,NA,NA,NA,NA,NA,NA,N
0,129,NA,NA,NA,NA,NA,NA,NA,N
0,130,NA,NA,NA,NA,NA,NA,NA,N
0,131,NA,NA,NA,NA,NA,NA,NA,N
0,132,NA,NA,NA,NA,NA,NA,NA,N
0,133,NA,NA,NA,NA,NA,NA,NA,N
0,134,NA,NA,NA,NA,NA,NA,NA,N
0,135,NA,NA,NA,NA,NA,NA,NA,N
0,136,NA,NA,NA,NA,NA,NA,NA,N
0,137,NA,NA,NA,NA,NA,NA,NA,N
0,138,NA,NA,NA,NA,NA,NA,NA,N
0,139,NA,NA,NA,NA,NA,NA,NA,N
0,140,NA,NA,NA,NA,NA,NA,NA,N
0,141,NA,NA,NA,NA,NA,NA,NA,N
0,142,NA,NA,NA,NA,NA,NA,NA,N
0,143,NA,NA,NA,NA,NA,NA,NA,N
0,144,NA,NA,NA,NA,NA,NA,NA,N
0,145,1.0800568764627394,3.5813646143003295,13.17060978984013,3.4298970216546505,299.69336136260483,285.1270663829641,-5.592201240673486,Y
0,146,NA,NA,NA,NA,NA,NA,NA,N
0,147,NA,NA,NA,NA,NA,NA,NA,N
0,148,NA,NA,NA,NA,NA,NA,NA,N
0,149,NA,NA,NA,NA,NA,NA,NA,N
0,150,NA,NA,NA,NA,NA,NA,NA,N
0,151,NA,NA,NA,NA,NA,NA,NA,N
0,152,NA,NA,NA,NA,NA,NA,NA,N
0,153,NA,NA,NA,NA,NA,NA,NA,N
0,154,NA,NA,NA,NA,NA,NA,NA,N
0,155,NA,NA,NA,NA,NA,NA,NA,N
0,156,NA,NA,NA,NA,NA,NA,NA,N
0,157,0.8267272398386459,3.0340821525369694,12.82283558965623,2.974342655787454,300.4743586770995,286.998011993219,-6.64794871707748,Y
0,158,NA,NA,NA,NA,NA,NA,NA,N
0,159,NA,NA,NA,NA,NA,NA,NA,N
0,160,NA,NA,NA,NA,NA,NA,NA,N
0,161,NA,NA,NA,NA,NA,NA,NA,N
0,162,2.111908280963685,0.6945878181302972,5.141121978206165,-3.362729033337604,299.9499303545711,276.2451704889923,7.399867191529584,Y
0,163,NA,NA,NA,NA,NA,NA,NA,N
0,164,NA,NA,NA,NA,NA,NA,NA,N
0,165,NA,NA,NA,NA,NA,NA,NA,N
0,166,NA,NA,NA,NA,NA,NA,NA,N
0,167,NA,NA,NA,NA,NA,NA,NA,N
0,168,NA,NA,NA,NA,NA,NA,NA,N
0,169,NA,NA,NA,NA,NA,NA,NA,N
0,170,NA,NA,NA,NA,NA,NA,NA,N
0,171,NA,NA,NA,NA,NA,NA,NA,N
0,172,NA,NA,NA,NA,NA,NA,NA,N
0,173,NA,NA,NA,NA,NA,NA,NA,N
0,174,NA,NA,NA,NA,NA,NA,NA,N
0,175,NA,NA,NA,NA,NA,NA,NA,N
0,176,NA,NA,NA,NA,NA,NA,NA,N
0,177,NA,NA,NA,NA,NA,NA,NA,N
0,178,NA,NA,NA,NA,NA,NA,NA,N
0,179,NA,NA,NA,NA,NA,NA,NA,N
0,180,NA,NA,NA,NA,NA,NA,NA,N
0,181,NA,NA,NA,NA,NA,NA,NA,N
0,182,NA,NA,NA,NA,NA,NA,NA,N
0,183,NA,NA,NA,NA,NA,NA,NA,N
0,184,NA,NA,NA,NA,NA,NA,NA,N
0,185,NA,NA,NA,NA,NA,NA,NA,N
0,186,NA,NA,NA,NA,NA,NA,NA,N
0,187,NA,NA,NA,NA,NA,NA,NA,N
0,188,NA,NA,NA,NA,NA,NA,NA,N
0,189,NA,NA,NA,NA,NA,NA,NA,N
0,190,NA,NA,NA,NA,NA,NA,NA,N
0,191,NA,NA,NA,NA,NA,NA,NA,N
0,192,NA,NA,NA,NA,NA,NA,NA,N
0,193,NA,NA,NA,NA,NA,NA,NA,N
0,194,NA,NA,NA,NA,NA,NA,NA,N
0,195,NA,NA,NA,NA,NA,NA,NA,N
0,196,NA,NA,NA,NA,NA,NA,NA,N
0,197,NA,NA,NA,NA,NA,NA,NA,N
0,198,NA,NA,NA,NA,NA,NA,NA,N
0,199,NA,NA,NA,NA,NA,NA,NA,N
0,200,NA,NA,NA,NA,NA,NA,NA,N
0,201,NA,NA,NA,NA,NA,NA,NA,N
0,202,NA,NA,NA,NA,NA,NA,NA,N
0,203,NA,NA,NA,NA,NA,NA,NA,N
0,204,NA,NA,NA,NA,NA,NA,NA,N
0,205,NA,NA,NA,NA,NA,NA,NA,N
0,206,NA,NA,NA,NA,NA,NA,NA,N
0,207,NA,NA,NA,NA,NA,NA,NA,N
0,208,NA,NA,NA,NA,NA,NA,NA,N
0,209,NA,NA,NA,NA,NA,NA,NA,N
0,210,NA,NA,NA,NA,NA,NA,NA,N
0,211,NA,NA,NA,NA,NA,NA,NA,N
0,212,NA,NA,NA,NA,NA,NA,NA,N
0,213,NA,NA,NA,NA,NA,NA,NA,N
0,214,NA,NA,NA,NA,NA,NA,NA,N
0,215,NA,NA,NA,NA,NA,NA,NA,N
0,216,NA,NA,NA,NA,NA,NA,NA,N
0,217,NA,NA,NA,NA,NA,NA,NA,N
0,218,NA,NA,NA,NA,NA,NA,NA,N
0,219,NA,NA,NA,NA,NA,NA,NA,N
0,220,NA,NA,NA,NA,NA,NA,NA,N
0,221,NA,NA,NA,NA,NA,NA,NA,N
0,222,NA,NA,NA,NA,NA,NA,NA,N
0,223,NA,NA,NA,NA,NA,NA,NA,N
0,224,NA,NA,NA,NA,NA,NA,NA,N
0,225,NA,NA,NA,NA,NA,NA,NA,N
0,226,NA,NA,NA,NA,NA,NA,NA,N
0,227,NA,NA,NA,NA,NA,NA,NA,N
0,228,NA,NA,NA,NA,NA,NA,NA,N
0,229,NA,NA,NA,NA,NA,NA,NA,N
0,230,NA,NA,NA,NA,NA,NA,NA,N
0,231,NA,NA,NA,NA,NA,NA,NA,N
0,232,NA,NA,NA,NA,NA,NA,NA,N
0,233,NA,NA,NA,NA,NA,NA,NA,N
0,234,NA,NA,NA,NA,NA,NA,NA,N
